Vocab-sound-local	Sentence-expression	Sentence-meaning
bara ni ha iroiro na shurui ga arimasu	バラには色々な種類があります。	There are many varieties of rose.
watashi ga sore wo naoshimashita	私がそれを直しました。	I mended it.
kono michi wo massugu itte kudasai	この道を真っ直ぐ行ってください。	Please go straight along this road.
sono hon ha sugu urikireta	その本は直ぐ売り切れた。	The book sold out quickly.
kami wo sankaku ni kirimashita	紙を三角に切りました。	I cut the paper into a triangle.
kami wo shikaku ni kitte kudasai	紙を四角に切ってください。	Please cut the paper into a square.
kotchi no shikakui teeburu wo kaouyo	こっちの四角いテーブルを買おうよ。	Let's buy this square table over here.
watashi ha kono kyoku ga daisuki desu	私はこの曲が大好きです。	I love this song.
hiza wo magete kudasai	ひざを曲げてください。	Please bend your knees.
tsugi no kousaten wo hidari ni magatte kudasai	次の交差点を左に曲がってください。	Please turn left at the next intersection.
tsugi no kado de hidari ni magatte kudasai	次の角で左に曲がってください。	Please turn left at the next corner.
asoko no yotsukado wo hidari ni magatte kudasai	あそこの四つ角を左に曲がってください。	Please turn left at that crossroad up there.
posuto ha soko no magarikado ni arimasu	ポストはそこの曲がり角にあります。	There's a post box on that corner.
sono keisan ha machigatte iru	その計算は間違っている。	That calculation is wrong.
uriage ha nendo ni yotte chigaimasu	売り上げは年度によって違います。	Sales differ by fiscal year.
kono bun ni ha machigai ga arimasu	この文には間違いがあります。	There's a mistake in this sentence.
denwa bangou wo machigaemashita	電話番号を間違えました。	I called the wrong number.
anata ha machigatte iru	あなたは間違っている。	You're mistaken.
watashi ha sekai ryokou wo shitai	私は世界旅行をしたい。	I want to travel around the world.
maitoshi ooku no hito ga kaigai he ryokou suru	毎年多くの人が海外へ旅行する。	A lot of people travel abroad every year.
watashi ha maitoshi kaigai ryokou ni ikimasu	私は毎年、海外旅行に行きます。	I travel abroad every year.
ryokou no tame ni takusan firumu wo katta	旅行のためにたくさんフィルムを買った。	I bought a lot of film for the trip.
ryokou de tanoshii omoide ga dekimashita	旅行で楽しい思い出ができました。	I made wonderful memories during my trip.
ototoshi hajimete kyouto he ryokou shimashita	一昨年初めて京都へ旅行しました。	I first traveled to Kyoto the year before last.
yappari tabi ga daisuki da	やっぱり旅が大好きだ。	I just love to travel.
watashi ha yoku toshokan wo riyou shimasu	私はよく図書館を利用します。	I often use the library.
toshokan ni hon wo kaeshita	図書館に本を返した。	I returned the book to the library.
eigakan ha garagara deshita	映画館はがらがらでした。	The movie theater was empty.
kyouto de ha ryokan ni tomarimashita	京都では旅館に泊まりました。	I stayed at an inn in Kyoto.
tomodachi wo uchi ni tomete agemashita	友達をうちに泊めてあげました。	I put my friend up at my house.
tomodachi to toranpu wo shite asobimashita	友達とトランプをして遊びました。	I played cards with a friend.
obasan ikka ga asobi ni kimashita	おばさん一家が遊びに来ました。	My aunt and her family came to visit.
kono fuku ha sanbyakudoru shimashita	この服は300ドルしました。	These clothes cost 300 dollars.
kyou ha youfuku wo kai ni ikimasu	今日は洋服を買いに行きます。	I'm going to buy some clothes today.
watashi no kyoushitsu ha sangai ni arimasu	私の教室は3階にあります。	My classroom is on the third floor.
toshoshitsu de benkyou shita	図書室で勉強した。	I studied at the library.
maeuriken ha madoguchi de hanbai shite imasu	前売券は窓口で販売しています。	Advance tickets are being sold at the ticket window.
mado wo akete kudasai	窓を開けてください。	Please open the window.
koko ha chichi no tochi desu	ここは父の土地です。	This is my father's land.
kinou chichi kara tegami ga todoita	昨日、父から手紙が届いた。	I got a letter from my father yesterday.
chichi ha yasumi no hi ha zutto terebi wo mite iru	父は休みの日はずっとテレビを見ている。	My father spends his days off watching television all the time.
chichi ha anzen unten da	父は安全運転だ。	My father drives safely.
chichi ha sarariiman desu	父はサラリーマンです。	My father's a company employee.
chichinohi ni nekutai wo purezento shita	父の日にネクタイをプレゼントした。	I gave him a tie on Father's Day.
chichi ha hige wo hayashite imasu	父はひげをはやしています。	My father's growing a beard.
chichi ga akubi wo shita	父があくびをした。	My father yawned.
watashi no chichi ha fudousanya desu	私の父は不動産屋です。	My father's a real estate agent.
haha ha mada gaikoku ni itta koto ga arimasen	母はまだ外国に行ったことがありません。	My mother hasn't been abroad yet.
haha ha kaimono ni dekakete imasu	母は買い物に出かけています。	My mother's gone shopping.
okaasan ha daidokoro ni imasu	お母さんは台所にいます。	Mother's in the kitchen.
watashi ha maishuu haha ni denwa wo shimasu	私は毎週母に電話をします。	I call my mother every week.
haha ni yomikaki wo naraimashita	母に読み書きを習いました。	I learned reading and writing from my mother.
haha ga koonsuupu wo tsukutte iru	母がコーンスープを作っている。	My mother made some corn chowder.
haha ha furui taipuraitaa wo motte imasu	母は古いタイプライターを持っています。	My mother has an old typewriter.
jazu no rekoodo wo kakemashita	ジャズのレコードをかけました。	I put on a jazz record.
watashi ha haha ni nite imasu	私は母に似ています。	I look like my mother.
doa wo dondon to tataita	ドアをどんどんとたたいた。	I banged on the door.
shinsetsu ni shite kudasatte doumo arigatou gozaimasu	親切にしてくださってどうもありがとうございます。	Thank you for being so kind to me.
ano ten'in ha totemo shinsetsu desu	あの店員はとても親切です。	That shop clerk is very kind.
oyako no kaiwa ha taisetsu desu	親子の会話は大切です。	Conversation between parents and children is important.
sono ten'in ha fushinsetsu datta	その店員は不親切だった。	That store clerk was unkind.
ano mura no hitobito ha totemo shinsetsu desu	あの村の人々はとても親切です。	People in that village are very kind.
uchi ha gonin kazoku desu	うちは五人家族です。	We're a family of five.
katta banzai	勝った、万歳!	We won--hurray!
uchi no choujo ha jussai desu	うちの長女は10歳です。	Our oldest daughter is ten.
neesan gomen ne	姉さん、ごめんね。	I'm sorry sis.
imouto ha koukou ni kayotte imasu	妹は高校に通っています。	My little sister goes to high school.
imouto ha kugatsu ni amerika no daigaku ni nyuugaku shimasu	妹は九月にアメリカの大学に入学します。	My little sister's entering college in the United States in September.
imouto ha totemo oshaberi desu	妹はとてもおしゃべりです。	My little sister's very talkative.
imouto ha chokoreeto ga daisuki desu	妹はチョコレートが大好きです。	My little sister loves chocolate.
imouto ha rainen hatachi ni narimasu	妹は来年、二十歳になります。	My little sister will be 20 next year.
ani ha suugaku no sensei desu	兄は数学の先生です。	My big brother's a math teacher.
ani ha gorufu wo hajimemashita	兄はゴルフを始めました。	My older brother started playing golf.
ani ha arubaito wo shite imasu	兄はアルバイトをしています。	My big brother works part-time.
ani ha baiku ga daisuki desu	兄はバイクが大好きです。	My older brother loves motorcycles.
watashi no ani ha koora ga suki da	私の兄はコーラが好きだ。	My older brother likes cola.
ani ha nikai ni imasu	兄は二階にいます。	My elder brother is on the second floor.
niisan omedetou	兄さん、おめでとう。	Congratulations, big brother.
otouto ha aisukuriimu ga daisuki desu	弟はアイスクリームが大好きです。	My little brother loves ice cream.
anzen ga daiichi desu	安全が第一です。	Safety comes first.
musume ga nyuugaku shiken ni goukaku shimashita	娘が入学試験に合格しました。	My daughter passed the university entrance exam.
musume ha ima baiorin wo renshuu shite imasu	娘は今、バイオリンを練習しています。	My daughter is practicing the violin now.
musume ga pinku no doresu wo kite iru	娘がピンクのドレスを着ている。	My daughter's wearing a pink dress.
musume ha gakkou de hikizan wo naratte iru	娘は学校で引き算を習っている。	My daughter's learning subtraction at school.
musume ha gakkou de tashizan wo naratta	娘は学校で足し算を習った。	My daughter learned addition in school.
musuko ha chuugaku ni kayotte imasu	息子は中学に通っています。	My son goes to junior high.
musuko ha chuugakusei desu	息子は中学生です。	My son is a junior high school student.
