Vocab-sound-local	Sentence-expression	Sentence-meaning
jimushitsu de kopii wo totte kimasu	事務室でコピーを取って来ます。	I'm going to make copies in the office.	1
kono purintaa ha juurai no mono yori hayai	このプリンターは従来のものより速い。	This printer prints faster than previous models.	1
kanojo ha meirei ni shitagawanakatta	彼女は命令に従わなかった。	She did not obey orders.	1
itoko to watashi ha onaji toshi desu	従兄弟と私は同じ年です。	My cousin and I are the same age.	1
seiseki ga agarimashita	成績が上がりました。	His grades went up.	1
kare no seiseki ha maamaa desu	彼の成績はまあまあです。	His results are so-so.	1
gakuseitachi ha intaanetto de iroirona jouhou wo atsumeta	学生たちはインターネットでいろいろな情報を集めた。	The students gathered all kinds of information on the Internet.	2
otouto ha kitte wo atsumete imasu	弟は切手を集めています。	My little brother collects stamps.	1
ekimae ni hito ga atsumatte imasu	駅前に人が集まっています。	Lots of people are gathered in front of the station.	1
kakkoku no daihyou ga nyuuyooku ni atsumatta	各国の代表がニューヨークに集まった。	Each country's representatives assembled in New York.	1
oshougatsu ni ha taitei kazoku ga atsumaru	お正月にはたいてい、家族が集まる。	Our family usually gets together for the new year.	1
sono kaisha ha josei wo ooku saiyou shite iru	その会社は女性を多く採用している。	This company employs many women.	1
rainen kara kyuuryou ga agarimasu	来年から給料が上がります。	I'm getting a pay raise as of next year.	1
mainen kyuuryou ga agaru	毎年給料が上がる。	My salary goes up every year.	1
watashi ha kyonen daigaku wo sotsugyou shita	私は去年、大学を卒業した。	I graduated from university last year.	1
otouto ga koutougakkou wo sotsugyou shimashita	弟が高等学校を卒業しました。	My little brother graduated from high school.	1
kare ha shuushoku shiken wo uketa	彼は就職試験を受けた。	He took an exam to apply for a job.	1
kare ha jidousha gaisha ni shuushoku shita	彼は自動車会社に就職した。	He got a job at a car company.	1
saikin wakai hitotachi no shuushoku ga muzukashiku natte imasu	最近、若い人たちの就職が難しくなっています。	It's been hard for young people to find jobs recently.	1
haha ga kyou taiin shimasu	母が今日退院します。	My mother is being discharged from the hospital today.	1
sono senshu ha atarashii chiimu to keiyaku shita	その選手は新しいチームと契約した。	That player signed a contract with a new team.	1
ima nedan wo koushou shite imasu	今、値段を交渉しています。	We're currently negotiating the price.	1
kare ha sono jiken ni kankei ga nai	彼はその事件に関係がない。	He has nothing to do with that incident.	1
suupaamaaketto de ninjin wo katta	スーパーマーケットで人参を買った。	I bought carrots at the supermarket.	2
asu ha shimin marason ni sanka shimasu	明日は市民マラソンに参加します。	I'll participate in the citizens' marathon tomorrow.	1
shima no jinkou ha nennen zouka shite imasu	島の人口は年々増加しています。	The population of the island increases every year.	1
kono koujou de ha sakana wo kakou shite iru	この工場では魚を加工している。	This factory processes fish.	1
okagen ha ikaga desu ka	お加減はいかがですか。	How are you feeling?	1
kongetsu to sengetsu no uriage wo kurabeta	今月と先月の売上を比べた。	I compared this month's sales with last month's.	1
saikin kare no hyouka ga agatta	最近、彼の評価が上がった。	He's been receiving more recognition lately.	1
kono ankeeto ha daigakusei ga taishou desu	このアンケートは大学生が対象です。	This questionnaire targets university students.	1
kuruma wo shuuri ni dashita	車を修理に出した。	I took the car in for repair.	1
tsugi no eki de chikatetsu ni norikaemasu	次の駅で地下鉄に乗り換えます。	I'm transfering to the subway at the next station.	1
toirettopeepaa wo koukan shimashita	トイレットペーパーを交換しました。	I changed the toilet paper.	1
tsugi no eki de norikae desu	次の駅で乗り換えです。	I'm transfering at the next station.	1
kuruma no taiya wo kaeta	車のタイヤを換えた。	I changed the tires on the car.	1
kare ha kirei na fuku ni kigaeta	彼はきれいな服に着替えた。	He changed into clean clothes.	1
saigai ni sonaete tairyou no mizu wo kaikonda	災害に備えて大量の水を買い込んだ。	I bought large quantities of water to prepare for disasters.	1
kare ha yakusoku wo yabutta	彼は約束を破った。	He broke his promise.	1
shatsu ga yaburete iru	シャツが破れている。	My shirt got torn.	1
atarashii kikai ga kowareta	新しい機械が壊れた。	The new machine broke.	1
kamera ga kowareta	カメラが壊れた。	The camera broke.	1
kanojo ga watashi no keetai wo kowashita	彼女が私のケータイを壊した。	She destroyed my cell phone.	1
kaisha no pasokon ga kowareta	会社のパソコンが壊れた。	The company computer broke down.	1
kare ha rippa na hito desu	彼は立派な人です。	He's a fine man.	1
kanojo ga watashi no sukejuuru wo kanri shite iru	彼女が私のスケジュールを管理している。	She manages my schedule.	1
sono jiken no hannin ha mada tsukamatte inai	その事件の犯人はまだ捕まっていない。	The perpetrator of the incident hasn't been caught yet.	1
nigete ita hannin ga taiho saremashita	逃げていた犯人が逮捕されました。	They arrested that criminal who escaped.	1
nisensannen ni iraku de sensou ga atta	2003年にイラクで戦争があった。	There was a war in Iraq in 2003.	1
gomi wo sutete kudasai	ゴミを捨ててください。	Please throw away the garbage.	1
mizuumi de sukeeto wo shita	湖でスケートをした。	We went skating on the lake.	1
ike de booto ni norimashita	池でボートに乗りました。	I got on the boat at the pond.	1
atarashii denchi wo iremashou	新しい電池を入れましょう。	Let's put in a new battery.	1
ano ike ha totemo fukai	あの池はとても深い。	That pond is very deep.	1
kono puuru no fukasa ha nimeetoru desu	このプールの深さは2メートルです。	This pool is two meters deep.	1
kono kawa ha asai desu	この川は浅いです。	This river is shallow.	1
michi ni nanika ochite imasu	道に何か落ちています。	Something has fallen on the road.	1
koppu ga ochite wareta	コップが落ちて割れた。	The glass fell and broke.	1
kanojo ha daietto no tame ni oyoide iru	彼女はダイエットのために泳いでいる。	She swims to lose weight.	1
kinou ha takusan oyogimashita	昨日はたくさん泳ぎました。	I swam a lot yesterday.	1
kyonen ha suniikaa ga hayarimashita	去年はスニーカーが流行りました。	Sneakers were popular last year.	1
kaettara mazu te wo araimashou 。	帰ったら先ず手を洗いましょう。	When you get home, wash your hands first.	1
hayaku kao wo arainasai	早く顔を洗いなさい。	Hurry up and wash your face.	1
watashi ha shitagi wo te de arau	私は下着を手で洗う。	I wash my underwear by hand.	1
senmenjo de kao wo aratta	洗面所で顔を洗った。	She washed her face in the lavatory.	1
mizu to abura ha mazaranai	水と油は混ざらない。	Oil and water don't mix.	1
booto ga kawa ni shizunda	ボートが川に沈んだ。	The boat sank in the river.	1
ashita hisashiburi ni tomodachi ni aimasu	明日、久しぶりに友達に会います。	Tomorrow I'm meeting a friend I haven't seen for a long time.	1
gurasu ni koori wo irete kudasai	グラスに氷を入れてください。	Please put some ice in my glass.	1
kuuraa de karada ga hieta	クーラーで体が冷えた。	The air conditioner's given me the chills.	1
atama wo hiyashinasai	頭を冷やしなさい。	Cool your head.	1
kare he no kimochi ga sameta	彼への気持ちが冷めた。	My feelings for him have died down.	1
samui asa ha douro ga koorimasu	寒い朝は道路が凍ります。	The roads freeze on cold mornings.	1
reizouko ga koshou shimashita	冷蔵庫が故障しました。	The refrigerator broke down.	1
kono seetaa ha uuru da	このセーターはウールだ。	This sweater is made of wool.	1
nomimono ha reizouko ni arimasu	飲み物は冷蔵庫にあります。	Drinks are in the refrigerator.	1
yuugata ha suzushiku narimasu yo	夕方は涼しくなりますよ。	It gets cooler in the evening.	1
zubon ga yogoreta	ズボンが汚れた。	My trousers got dirty.	1
kare ha fuku wo yogoshita	彼は服を汚した。	He got his clothes dirty.	1
epuron wo shinai to fuku ga yogoremasu	エプロンをしないと服が汚れます。	Your clothes will get dirty if you don't wear an apron.	1
koko ha keshiki ga kirei desu ne	ここは景色がきれいですね。	The scenery here is beautiful.	1
watashi ha kare kara ooki na eikyou wo ukemashita	私は彼から大きな影響を受けました。	I was deeply influenced by him.	1
nami ga kirakira hikatte imashita	波がきらきら光っていました。	The waves sparkled brilliantly.	1
watashi no ane ha sugu futorimasu	私の姉はすぐ太ります。	My big sister puts on weight easily.	1
kare ha yubi ga futoi	彼は指が太い。	His fingers are fat.	1
taiyou ha nishi ni shizumimasu	太陽は西に沈みます。	The sun sets in the west.	1
taiyou ga giragira shite iru	太陽がぎらぎらしている。	The sun is glaring.	1
uchuujin ha sonzai suru to omoimasu ka	宇宙人は存在すると思いますか。	Do you think that aliens exist?	1
atarashii hoshi ga hakken sareta	新しい星が発見された。	A new star was discovered.	1
hoshi ga kirakira hikatte iru	星がきらきら光っている。	The stars are shining brightly.	1
konya ha hoshi ga yoku miemasu	今夜は星がよく見えます。	You can see the stars clearly tonight.	1
yuube nagareboshi wo mimashita	昨夜、流れ星を見ました。	I saw some shooting stars last night.	1
tsuki ha chikyuu no mawari wo mawatte imasu	月は地球のまわりを回っています。	The moon spins around the earth.	1
kare ha yakyuu ga umai	彼は野球がうまい。	He's good at baseball.	1
tomodachi to yakyuu wo shimashita	友達と野球をしました。	I played baseball with a friend.	1
